"","idnum","m4a4","m5a4","kind_a5","kind_a6","kind_a7","scoreKind","t5c13a","t5c13b","t5c13c","score","X","f1g9a","f1g9b","f1g9c","f1g9d","f1g9e","f1g9f","f1g9g","f1g9h","f1g9i","f1g9j","f1g9k","f1g9l","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2c3a","m3b4a","m3b4b","m3b4c","m3b4d","m3b4e","m3b4f","m3b4g","m3b4h","m3b4i","m3b4j","m3b4k","m3b4l","m3b4m","m3c3a","m3c3b","m3c3c","m3c3d","m3c3e","m3c3f","m3c3g","m3c3h","m3c3i","m3c3j","m3c3k","m3c3l","m3c3m","f3c3a","f3c3b","f3c3c","f3c3d","f3c3e","f3c3f","f3c3g","f3c3h","f3c3i","f3c3j","f3c3k","f3c3l","f3c3m","f3b4a","f3b4b","f3b4c","f3b4d","f3b4e","f3b4f","f3b4g","f3b4h","f3b4i","f3b4j","f3b4k","f3b4l","f3b4m","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","f4b4a1","f4b4a2","f4b4a3","f4b4a4","f4b4a5","f4b4a6","f4b4a7","f4b4a8","f4c3a","f4c3b","f4c3c","f4c3d","f4c3e","f4c3f","f4c3g","f4c3h","f2b36a","f2b36b","f2b36c","f2b36d","f2b36e","f2b36f","f2b36g","f2b36h","f2c3a","f2c3b","f2c3c","f2c3d","f2c3e","f2c3f","f2c3g","f2c3h","f2c3i","f2c3j","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","tally","tally2"
"39",35,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,35,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,5,7,1,7,7,5,7,7,7,7,7,7,7,7,7,1,1,7,7,3,7,7,7,7,3,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,3,3,5,7,3,7,7,7,7,7,5,7,7,3,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,5,7,7,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,7,1,7,7,7,3,0,0
"40",36,6,7,NA,NA,NA,NA,-9,-9,-9,-27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"41",37,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,5,0,7,3,7,7,4,2,7,7,5,0,1,1,4,5,5,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,2,3,5,2,5,5,0,0
"42",38,1,-9,NA,NA,NA,NA,-9,-9,-9,-27,38,0,0,0,0,0,0,0,1,0,1,1,0,5,7,3,3,7,2,7,7,7,1,7,7,1,4,2,2,5,6,1,1,0,7,1,7,7,1,1,2,2,2,7,1,1,2,0,4,7,7,2,4,4,4,2,5,1,1,6,7,4,7,7,2,4,4,4,2,4,1,1,5,4,2,2,1,5,7,3,3,4,2,1,1,4,2,3,2,5,3,3,3,5,3,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,5,7,2,0,1,7,4,0,0
"43",39,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,2,7,7,7,7,7,NA,7,7,7,7,7,7,7,7,7,7,0,0,7,0,2,2,0,2,2,0,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"44",40,2,4,NA,NA,NA,NA,3,3,3,9,40,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,7,0,7,7,2,7,7,7,7,2,7,7,7,7,7,1,7,7,7,7,7,7,7,2,1,7,7,7,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,0,3,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,7,1,3,7,7,7,0,0
"45",41,3,3,4,3,4,11,3,3,3,9,41,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,7,3,3,7,2,3,5,7,7,7,3,6,0,7,7,3,2,7,7,0,7,7,2,0,1,0,2,2,1,2,1,0,1,7,7,7,2,1,1,7,7,3,4,1,6,2,7,7,1,7,1,7,3,7,3,2,1,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,3,0,4,4,7,7,0,0
"46",42,6,7,-1,-1,-1,-3,-9,-9,-9,-27,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,0,7,4,7,7,7,NA,7,7,7,3,4,2,1,2,7,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"47",43,6,6,NA,NA,NA,NA,-9,-9,-9,-27,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,3,3,7,7,NA,7,7,7,7,3,4,2,7,7,4,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"48",44,-14,-6,NA,NA,NA,NA,-9,-9,-9,-27,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,7,7,4,7,7,7,2,2,7,7,7,3,7,7,5,7,2,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,5,1,4,3,0,0,0
"49",45,1,1,1,2,1,4,2,2,2,6,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,3,7,7,7,2,0,7,7,5,0,0,0,3,3,7,2,0,0,3,7,7,7,7,3,3,5,7,7,4,0,5,1,7,7,7,0,3,2,0,5,2,3,3,7,7,5,7,7,2,5,5,5,7,7,3,3,7,1,0,0,5,3,3,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,0,0,3,0,0,0
"50",46,5,6,2,3,3,8,3,3,3,9,46,1,0,0,1,2,7,1,4,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,7,5,5,3,7,7,1,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,2,1,1,3,5,0,3,4,7,7,7,7,7,3,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"51",47,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,47,0,2,0,0,0,2,0,2,0,0,0,0,3,7,3,2,7,3,7,7,NA,2,7,7,7,7,7,7,7,7,4,1,0,7,NA,2,2,0,0,2,2,2,2,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,5,7,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,0,0
"52",48,-14,-6,NA,NA,NA,NA,-9,-9,-9,-27,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,6,7,7,7,7,4,3,7,7,7,0,5,5,7,7,0,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,7,1,7,7,7,6,0,0
"53",49,1,1,NA,NA,NA,NA,3,3,3,9,49,2,2,0,2,0,0,2,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,4,4,7,5,7,7,1,0,0,3,7,7,7,2,7,7,3,7,7,0,0,0,4,3,7,7,3,3,3,3,3,4,1,1,2,2,5,7,7,4,4,4,4,3,3,1,1,2,6,3,4,2,4,4,5,2,1,2,2,2,1,4,3,3,5,1,3,3,2,3,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"54",50,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"55",51,1,-9,NA,NA,NA,NA,-9,-9,-9,-27,51,0,0,0,0,0,0,0,7,0,2,0,0,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,3,2,7,7,5,7,7,5,7,4,4,7,6,3,2,4,0,7,7,7,5,7,7,5,5,7,5,3,7,7,0,7,7,5,3,3,0,7,7,3,3,7,5,4,2,4,6,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,5,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,7,2,0,3,7,0,0,0
"56",52,6,7,4,3,4,11,3,3,3,9,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,0,0,5,7,7,NA,4,7,5,3,2,2,2,2,4,2,1,0,4,NA,5,3,NA,NA,NA,NA,2,2,3,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,2,0,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"57",53,6,6,-1,3,3,5,3,3,3,9,53,0,0,0,3,0,7,0,7,7,0,4,7,7,7,3,7,7,1,7,7,NA,7,7,7,4,4,5,7,7,6,3,1,7,7,3,7,7,1,2,3,3,2,2,2,1,4,5,4,7,7,3,4,4,4,7,4,1,3,0,7,2,5,5,3,4,2,2,5,3,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,1,2,1,2,1,1,2,2,7,2,2,1,1,3,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,0,0,2,2,2,0,0
"58",54,1,1,NA,NA,NA,NA,4,4,4,12,54,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,0,1,6,7,1,7,7,7,7,7,7,7,7,0,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,0,1,7,7,1,6,7,7,7,6,3,2,7,7,7,4,6,2,3,5,7,7,7,7,7,7,4,1,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,3,NA,NA,0,0
"59",55,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,55,0,0,0,1,0,0,0,0,0,0,3,0,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,7,NA,NA,0,0
"60",56,-9,1,NA,NA,NA,NA,-9,-9,-9,-27,56,0,0,0,0,0,1,0,0,0,0,0,0,7,3,3,3,3,1,7,7,1,4,7,7,0,4,5,5,5,5,0,2,7,7,4,7,7,0,5,5,5,4,7,0,2,7,4,7,7,7,7,0,5,5,7,7,4,3,3,7,4,7,7,0,7,5,7,7,7,4,3,0,7,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,3,7,2,2,7,5,7,5,3,7,3,3,7,7,7,5,6,7,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,0,0
"61",57,6,7,NA,NA,NA,NA,2,2,1,5,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,3,7,5,7,7,3,7,7,7,7,3,3,2,7,7,7,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,3,0,0,0
"62",58,1,1,3,3,4,10,-9,-9,-9,-27,58,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,3,7,2,7,7,5,5,7,7,7,6,7,7,5,7,1,NA,1,5,0,7,7,2,6,1,1,2,7,1,NA,0,2,7,7,7,7,7,7,7,7,7,2,0,7,7,7,7,7,7,7,3,3,7,7,2,0,7,3,1,3,3,1,7,0,3,2,7,7,7,6,7,3,3,7,7,7,7,7,7,7,7,7,7,7,2,7,7,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,5,1,3,1,6,0,0,0
"63",59,2,4,NA,NA,NA,NA,-9,-9,-9,-27,59,2,2,5,0,2,0,5,7,7,3,5,0,0,1,0,NA,NA,NA,NA,NA,NA,0,7,7,0,0,0,0,2,2,1,1,0,3,1,7,3,0,0,0,0,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,2,2,1,1,1,4,2,1,7,7,0,1,1,1,1,1,1,0,2,3,2,0,7,5,4,7,NA,7,7,3,5,5,4,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,3,NA,NA,0,0
"64",60,2,2,4,4,4,12,5,4,5,14,60,3,0,1,1,3,1,1,3,1,1,1,2,5,7,7,7,5,7,7,7,5,7,7,7,4,7,7,7,7,7,3,2,0,7,4,7,7,2,3,3,3,3,7,3,2,0,4,7,7,7,7,7,7,7,0,7,2,2,0,0,7,7,7,7,7,5,5,0,7,0,2,0,0,1,1,1,3,5,2,3,7,5,3,3,0,4,5,3,7,5,5,3,0,5,7,3,7,7,7,7,7,2,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,5,7,7,7,7,7,0,0
"65",61,6,7,NA,NA,NA,NA,4,3,3,10,61,1,2,1,1,1,1,1,3,1,0,0,0,7,7,7,7,7,3,7,7,5,5,7,7,7,7,5,5,5,7,3,2,0,7,0,7,7,0,0,2,2,0,7,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,2,2,7,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,5,4,5,5,5,0,0,0
"66",62,6,6,NA,NA,NA,NA,-9,-9,-9,-27,62,0,0,0,0,0,0,0,0,0,1,0,0,7,3,2,2,7,2,7,7,0,7,7,3,7,7,1,1,0,7,3,1,0,7,NA,4,4,NA,NA,NA,NA,2,NA,3,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"67",63,2,4,NA,NA,NA,NA,2,2,2,6,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2,2,7,2,7,7,7,6,7,7,3,4,4,4,5,7,4,2,2,7,6,7,7,5,6,7,5,4,7,4,2,1,7,7,7,7,7,7,7,7,7,7,1,2,7,7,7,7,7,7,7,7,7,7,7,2,3,7,7,7,1,2,3,7,3,2,7,1,3,7,7,7,3,3,7,3,7,2,7,7,3,7,7,7,7,2,0,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,5,2,0,7,7,2,0,0
"68",64,6,7,2,3,2,7,1,1,2,4,64,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,1,7,2,7,7,NA,1,7,4,2,1,1,1,1,7,2,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"69",65,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,65,0,0,2,0,0,0,0,0,0,7,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,2,7,7,7,7,7,7,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"70",66,1,1,4,4,4,12,-9,-9,-9,-27,66,1,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,0,7,7,1,7,7,7,7,7,7,2,7,7,0,3,7,7,0,7,7,2,7,7,1,7,7,0,3,7,7,7,7,1,7,0,7,5,7,7,0,2,7,7,5,7,2,7,5,5,0,7,7,0,2,7,7,0,2,0,1,3,4,2,0,1,7,2,2,7,7,3,1,5,7,3,4,7,7,5,5,2,2,7,7,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0
"71",67,1,-9,NA,NA,NA,NA,-9,-9,-9,-27,67,7,0,7,0,3,7,0,0,3,0,0,0,7,3,7,7,7,3,7,7,7,7,7,7,7,7,3,7,7,7,7,1,0,7,7,7,7,7,7,3,2,7,7,7,1,0,7,3,7,7,2,6,4,4,6,7,7,1,0,5,2,7,7,4,5,3,3,5,6,3,1,0,7,7,1,2,2,7,1,1,7,2,1,3,7,5,3,4,7,5,4,4,5,5,3,3,7,7,7,7,7,7,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,7,3,7,7,7,7,0,0
"72",68,6,7,NA,NA,NA,NA,5,5,5,15,68,0,3,7,4,3,2,0,6,0,2,1,0,7,3,2,2,7,7,7,7,5,7,7,7,2,7,7,7,7,7,7,3,0,7,2,7,7,0,0,2,2,2,7,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,4,4,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,5,5,4,4,4,4,0,0
"73",69,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,NA,NA,NA,NA,NA,NA,3,7,7,7,7,7,7,4,7,7,1,0,7,1,7,7,2,1,1,2,2,7,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,7,7,7,7,7,7,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,7,4,4,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,3,NA,NA,0,0
"74",70,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,70,0,0,4,0,0,0,2,0,0,0,0,0,7,7,6,6,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,5,7,7,4,7,4,1,0,0,1,7,7,7,1,2,2,3,7,2,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,7,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,0,1,2,7,3,0,0
"75",71,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,6,7,7,NA,7,7,7,7,3,7,7,7,7,3,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"76",72,1,-9,NA,NA,NA,NA,-9,-9,-9,-27,72,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,7,7,5,7,7,7,1,7,2,7,7,1,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,1,1,7,7,7,3,0,0
