"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"1020","1020","10200",1,1,-6,1,-6,28,30,-6,1,1,7,7,4,7,7,7,7,3,7,3,2,2,1,3,1,2,1,-6,-6,-6,-6,-6,-6,3,3,2,7,2,7,3,1,7,3,3,3,2,2
"1021","1021","10210",1,2,7,1,-6,26,35,1,1,2,7,7,2,0,2,7,7,7,3,7,2,0,2,-6,1,6,1,-6,-6,-6,-6,-6,-6,2,0,2,7,2,7,1,2,7,1,0,7,3,0
"1022","1022","10220",1,2,7,1,-6,26,33,1,1,2,7,7,7,4,7,7,7,2,7,7,0,0,1,1,1,16,1,-6,-6,-6,-6,-6,-6,7,0,0,4,2,7,0,1,7,5,5,7,0,0
"1023","1023","10230",1,1,-6,1,-6,31,34,-6,1,1,7,7,6,5,6,7,7,6,6,7,1,6,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,6,5,5,5,1,7,2,2,7,4,4,7,1,4
"1024","1024","10240",0,2,7,1,-6,22,34,1,1,2,7,7,7,7,7,7,7,7,7,7,2,0,2,-6,1,40,1,-6,-6,-6,-6,-6,-6,7,7,7,7,2,7,7,2,7,7,7,7,2,0
"1025","1025","10250",1,1,-6,1,-6,35,38,-6,1,1,6,7,3,7,7,7,7,3,7,6,1,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,5,5,3,3,0,7,4,1,7,4,7,7,1,0
"1026","1026","10260",0,5,-6,2,4,27,41,-6,-6,-6,7,7,7,2,7,7,7,7,7,7,1,2,1,4,2,-6,2,2,2,-6,-6,2,-6,0,0,0,2,0,1,0,2,2,0,0,0,0,0
"1027","1027","10270",0,4,-6,2,2,19,36,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,1,0,1,4,1,40,2,2,0,5,2002,1,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1028","1028","10280",1,5,-6,2,2,22,37,-6,-6,-6,7,7,7,7,1,7,7,1,7,7,3,7,2,-6,1,1,2,2,0,7,2000,1,150,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1029","1029","10290",0,1,-6,1,-6,34,39,-6,1,1,7,7,7,7,7,7,7,7,6,7,5,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,1,5,5,3,0,7,0,2,7,5,5,7,5,0
"1030","1030","10300",1,1,-6,1,-6,23,36,-6,1,1,7,7,7,0,7,7,7,7,7,7,1,0,2,-6,1,4,1,-6,-6,-6,-6,-6,-6,7,7,7,7,3,7,7,2,7,7,0,7,1,0
"1031","1031","10310",1,1,-6,1,-6,38,33,-6,1,1,7,7,7,7,7,7,6,7,7,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,5,7,7,5,2,7,4,2,7,4,5,5,1,3
"1032","1032","10320",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1033","1033","10330",1,2,7,1,-6,31,33,1,1,2,7,7,7,7,7,7,7,7,7,7,1,0,1,4,1,40,1,-6,-6,-6,-6,-6,-6,7,1,7,1,7,7,7,1,7,0,2,7,1,0
"1034","1034","10340",1,5,-6,2,4,25,39,-6,-6,-6,7,7,4,7,7,7,7,7,7,7,2,1,2,-6,1,40,2,2,0,4,2003,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1035","1035","10350",1,4,-6,2,3,33,36,-6,-6,-6,3,7,7,7,3,7,7,3,7,7,2,0,2,-6,2,-6,2,2,0,6,2002,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1036","1036","10360",1,1,-6,1,-6,37,33,-6,1,1,7,7,7,7,5,7,7,5,5,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,2,0,2,1,7,2,2,7,2,5,7,1,7
"1037","1037","10370",1,1,-6,1,-6,37,34,-6,1,1,0,7,7,0,3,7,7,0,7,7,2,7,1,3,1,32,1,-6,-6,-6,-6,-6,-6,0,1,0,3,0,3,0,2,3,3,0,3,2,0
"1038","1038","10380",1,5,-6,2,5,20,40,-6,-6,-6,7,7,3,5,7,7,7,1,4,6,1,7,1,4,1,45,2,2,0,12,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1039","1039","10390",1,1,-6,1,-6,42,35,-6,1,1,1,7,7,7,7,7,7,7,7,7,0,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,7,7,7,4,7,1,2,7,2,7,7,0,7
"1040","1040","10400",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1041","1041","10410",1,4,-6,2,2,44,34,-6,-6,-6,4,7,7,3,7,7,7,2,7,7,3,7,1,4,1,7,2,2,5,-6,-6,1,15,1,2,-2,-2,4,7,-2,-2,7,2,-2,7,1,-2
"1042","1042","10420",1,4,-6,2,1,25,36,-6,-6,-6,3,7,7,1,3,7,7,3,2,2,1,7,2,-6,2,-6,2,2,30,-6,-6,1,716,0,0,0,1,0,7,4,2,2,4,4,1,1,7
"1043","1043","10430",1,2,7,1,-6,39,36,1,1,2,1,7,7,3,7,7,0,7,1,7,2,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,1,1,2,0,7,0,2,7,1,2,7,2,0
"1044","1044","10440",1,2,7,1,-6,37,34,1,1,2,3,7,7,7,5,7,4,5,7,7,0,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,4,3,5,0,7,2,2,7,3,3,5,0,0
"1045","1045","10450",1,1,-6,1,-6,36,35,-6,1,1,5,7,7,7,7,7,7,5,7,5,1,7,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,5,7,5,7,3,7,5,1,7,7,7,7,2,7
"1046","1046","10460",0,4,-6,2,5,24,39,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,7,7,2,-6,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1047","1047","10470",1,4,-6,2,3,37,33,-6,-6,-6,7,7,7,7,7,7,7,1,5,3,0,1,2,-6,1,50,2,2,4,-6,-6,1,100,-2,1,-2,1,1,1,1,-2,2,-2,1,-2,-2,-2
