"","idnum","mothid2","cm2fint","m2a4","m2a4d","m2a10","m2a11","cm2age","cm2b_age","m2b15","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2b19","m2b19a","mx2b20b","m2b21","m2b21a","m2c1","m2c1a","m2c2a","m2c2b1","m2c2b2","m2c2e","m2c2f","m2c3a","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","mx2c2c","m2c4"
"4693","4693","46930",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4694","4694","46940",0,-6,-6,2,2,38,14,0,0,7,7,7,7,0,7,7,2,-6,-5,1,56,2,2,8,-6,-6,1,-2,0,0,0,1,1,0,-2,2,1,0,-5,2
"4695","4695","46950",1,-6,-6,1,-6,35,11,0,7,7,7,7,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,2,7,7,7,7,-5,2
"4696","4696","46960",1,-6,-6,1,-6,25,17,0,6,1,3,0,4,5,7,7,2,-6,-5,1,45,1,-6,-6,-6,-6,-6,-6,7,4,0,0,7,2,1,1,7,7,-5,2
"4697","4697","46970",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4698","4698","46980",1,-6,-6,1,-6,29,10,0,7,7,7,7,7,4,7,5,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,3,3,7,4,7,7,7,2,-5,2
"4699","4699","46990",1,-6,-6,1,-6,28,12,0,7,7,0,1,7,2,7,7,2,-6,-5,1,30,1,-6,-6,-6,-6,-6,-6,4,4,0,0,7,1,7,7,7,1,-5,2
"4700","4700","47000",0,-6,-6,1,-6,23,16,0,7,7,7,7,7,2,7,7,2,-6,-5,1,25,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,2,3,7,7,7,-5,2
"4701","4701","47010",0,-6,-6,1,-6,19,14,0,7,3,7,0,7,2,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,1,7,0,7,0,7,7,7,7,-5,1
"4702","4702","47020",1,-6,-6,1,-6,37,15,1,201,201,205,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,201,-5,-5,1,2
"4703","4703","47030",0,-6,-6,2,1,32,15,0,1,0,4,2,3,7,7,7,2,-6,-5,1,16,2,2,3,-6,-6,2,-6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-5,2
"4704","4704","47040",0,-6,-6,1,-6,28,12,0,7,7,3,4,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,2,5,3,7,2,0,7,7,0,-5,2
"4705","4705","47050",1,-6,-6,1,-6,20,13,0,7,7,7,7,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,1,1,1,3,1,1,2,7,0,-5,2
"4706","4706","47060",1,-6,-6,2,5,19,13,0,7,2,7,7,7,7,7,7,2,-6,-5,1,40,2,2,0,2,2001,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
