"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"2250","2250","22500",1,2,1,1,1,2,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22501",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,1,1,1,1,5,4,4
"2251","2251","22510",1,2,1,1,2,2,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,-3,-5,1,1,5,5,4,"22511",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,4,4
"2252","2252","22520",1,2,1,2,2,2,23,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22521",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"2253","2253","22530",1,2,1,2,2,2,22,2,2,2,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22531",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,5
"2254","2254","22540",1,2,1,1,1,2,20,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22541",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,2
"2255","2255","22550",0,2,1,2,1,1,27,2,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"22551",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2256","2256","22560",1,2,1,2,2,2,19,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,3,"22561",1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,2,2,4,2,2
"2257","2257","22570",1,2,1,2,2,2,18,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22571",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,4,5
"2258","2258","22580",1,2,1,1,2,2,39,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"22581",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,5
"2259","2259","22590",1,1,-6,-6,-6,-6,29,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"22591",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
